path,size_bytes,sha256,purpose
Chapter_05/README.md,449,06bf73f229ce6aa776df87b2a52b0e9999afcc9917916a713324ef8cba4a78fa,Chapter guide
Chapter_06/README.md,451,c1527589f62f5c128176b98644457a7175cabeb242b851896700eac3cf6fabb1,Chapter guide
Chapter_06/reference/foundry-deployment-command-reference.md,709,6d80024f1a087350d61ead238a264075cde0a2b1a3e95c73556e6719c7bd80ab,Chapter 6 command reference
Chapter_06/skillops-chapter-6/.azure/deployment-plan.md,1671,2250fb604c85c22b2c2a1d9d4e368b7cff4280e1b54bc97f4bcfbfae802f8350,Exercise 6-1 supplied risky deployment plan
Chapter_06/skillops-chapter-6/.azure/deployment-validation-review.md,485,a8c384b1e82ec4e2a0270c9ebd9c86c5b5286681a76d3f4e3f99f31e63e52de9,Exercise 6-1 result template
Chapter_06/skillops-chapter-6/.github/skills/azure-deployment-validation-review/SKILL.md,1569,0c2a3266633dad9e406a5c4dfb6cf57bf956c49d088116dd4e66bd9cf0a9ec7f,Exercise 6-1 installed validation skill
Chapter_06/skillops-chapter-6/.github/skills/azure-release-readiness-review/SKILL.md,719,6899979e61eafca568c0b1ec97df5b25c7dbe54fa7eeb47a5f1f6d31e8eeb73e,Exercise 6-4 installed release skill
Chapter_06/skillops-chapter-6/main.bicep,502,472122a170e024b1d4163f92defed4a2f65f427e98c615f2d42cce5cfce6a8ab,Exercise 6-2 Bicep input
Chapter_06/skillops-chapter-6/release-evidence.md,619,b08f285805c4f0b48841befbdae45b91dcd5112f4823e5405e41c50c80595b75,Exercise 6-4 release evidence
Chapter_06/skillops-chapter-6/release-next-actions.md,152,78f31b6d01a11c87971959f54591b88b5d25f90fa0930b7f60c7cc893d2179f5,Exercise 6-4 next-actions template
Chapter_06/skillops-chapter-6/skills/azure-deployment-validation-review/SKILL.md,1569,0c2a3266633dad9e406a5c4dfb6cf57bf956c49d088116dd4e66bd9cf0a9ec7f,Exercise 6-1 canonical validation skill
Chapter_06/skillops-chapter-6/skills/azure-release-readiness-review/SKILL.md,719,6899979e61eafca568c0b1ec97df5b25c7dbe54fa7eeb47a5f1f6d31e8eeb73e,Exercise 6-4 canonical release skill
Chapter_06/skillops-chapter-6/validation-command-record.md,238,32c810bfbd66eb28c4fd235bf663d5b23692ff932cf6f9f4b67f12a6dec5d756,Exercise 6-2 validation evidence template
